ref	text	macula_lemma	macula_eng	macula_lxx_greek	tbi	sruv06	rv09	bbc
JDG 13:16!3	יְהוָ֜ה	יהוה	LORD	κυρίου	Tuhan	BWANA	jehová jehová jehová	Jahowa
JDG 13:16!5	מָנ֗וֹחַ	מָנוֹחַ	Manoah	μανωε	Manoah	Manoa	Manoa	Manoa
JDG 13:16!14	יהוָ֖ה	יהוה	LORD	κυρίῳ	Tuhan	BWANA	jehová jehová jehová	Jahowa
JDG 13:16!19	מָנ֔וֹחַ	מָנוֹחַ	Manoah	μανωε	Manoah	Manoa	Manoa	Manoa
JDG 13:16!22	יְהוָ֖ה	יהוה	LORD	κυρίου	Tuhan	BWANA	jehová jehová jehová	Jahowa
JDG 13:17!2	מָנ֛וֹחַ	מָנוֹחַ	Manoah	μανωε	Manoah	Manoa	Manoa	Manoa
JDG 13:17!5	יְהוָ֖ה	יהוה	Lord	κυρίου	Tuhan	BWANA	jehová	Jahowa
JDG 13:18!4	יְהוָ֔ה	יהוה	Lord	κυρίου	Tuhan	BWANA	jehová	Jahowa
JDG 13:19!2	מָנ֜וֹחַ	מָנוֹחַ	Manoah	μανωε	Manoah	Manoa	Manoa	Manoa
JDG 13:19!11	יהוָ֑ה	יהוה	LORD	κυρίῳ	Tuhan	BWANA	jehová	Jahowa
JDG 13:19!14	מָנ֥וֹחַ	מָנוֹחַ	Manoah	μανωε	Manoah	Manoa	Manoa	Manoa
JDG 13:20!9	יְהוָ֖ה	יהוה	LORD	κυρίου	Tuhan	wa BWANA	jehová	Jahowa
JDG 13:20!12	מָנ֤וֹחַ	מָנוֹחַ	Manoah	μανωε	Manoah	nao Manoa	Manoa	Manoa
JDG 13:21!5	יְהוָ֔ה	יהוה	LORD	κυρίου	Tuhan	BWANA	jehová jehová	Jahowa
JDG 13:21!8	מָנ֣וֹחַ	מָנוֹחַ	Manoah	μανωε	Manoah	Manoa	Manoa	Manoa
JDG 13:21!13	מָנ֔וֹחַ	מָנוֹחַ	Manoah	μανωε	Manoah	Manoa	Manoa	Manoa
JDG 13:21!16	יְהוָ֖ה	יהוה	LORD	κυρίου	Tuhan	wa BWANA	jehová jehová	Jahowa
JDG 13:22!2	מָנ֛וֹחַ	מָנוֹחַ	Manoah	μανωε	Manoah	Manoa	Manoa	Manoa
JDG 13:23!6	יְהוָ֤ה	יהוה	LORD		Tuhan	BWANA	jehová	Jahowa
JDG 13:24!7	שִׁמְשׁ֑וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 13:24!11	יְהוָֽה	יהוה	LORD	κύριος	Tuhan	BWANA	jehová	Jahowa
JDG 13:25!3	יְהוָ֔ה	יהוה	LORD	κυρίου	Tuhan	ya BWANA	jehová	Jahowa
JDG 13:25!8	צָרְעָ֖ה	צׇרְעָה	Zorah		antara	Sora	Zora	holangholang
JDG 13:25!10	אֶשְׁתָּאֹֽל	אֶשְׁתָּאוֹל	Eshtaol		antara	Eshtaoli	Estaol	holangholang
JDG 14:1!2	שִׁמְשׁ֖וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 14:3!19	שִׁמְשׁ֤וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 14:4!6	יְהוָה֙	יהוה	LORD	κυρίου	Tuhan	ni la BWANA	jehová	Jahowa
JDG 14:4!17	יִשְׂרָאֵֽל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	Israeli	Israel	Israel
JDG 14:5!2	שִׁמְשׁ֛וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 14:6!4	יְהוָ֗ה	יהוה	LORD	κυρίου	Tuhan	BWANA	jehová	Jahowa
JDG 14:7!6	שִׁמְשֽׁוֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	hasoloan
JDG 14:10!7	שִׁמְשׁוֹן֙	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 14:12!3	שִׁמְשׁ֔וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 14:15!6	שִׁמְשׁוֹן֙	שִׁמְשׁוֹן	Samson’s	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 14:16!3	שִׁמְשׁ֜וֹן	שִׁמְשׁוֹן	Samson’s	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 14:19!4	יְהוָ֗ה	יהוה	LORD	κυρίου	Tuhan	BWANA	jehová	Jahowa
JDG 14:19!6	אַשְׁקְל֜וֹן	אַשְׁקְלוֹן	Ashkelon	ἀσκαλῶνα	Askelon	hadi Ashkeloni	Ascalón	Askelon
JDG 14:20!3	שִׁמְשׁ֑וֹן	שִׁמְשׁוֹן	Samson’s	σαμψων	Simson	wa Samsoni	Sansón	Simson
JDG 15:1!7	שִׁמְשׁ֤וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 15:3!3	שִׁמְשׁ֔וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 15:4!2	שִׁמְשׁ֔וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 15:6!7	שִׁמְשׁוֹן֙	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Ni huyo Samsoni	Sansón	Simson
JDG 15:6!9	תִּמְנִ֔י	תִּמְנִי	Timnite	θαμνι		yule Mtimna	timnateo	
JDG 15:7!3	שִׁמְשׁ֔וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 15:8!12	עֵיטָֽם	עֵיטָם	Etam	ηταμ	Etam	la Etamu	Etam	Etham
JDG 15:9!4	יהוּדָ֑ה	יְהוּדָה	Judah	ιουδα	Yehuda	katika Yuda	Judá	Juda
JDG 15:9!6	לֶּֽחִי	לֶחִי	Lehi	λευι	Lehi	Lehi	Lehi	Lehi
JDG 15:10!3	יְהוּדָ֔ה	יְהוּדָה	Judah	ιουδα	Yehuda	Yuda	Judá	Juda
JDG 15:10!10	שִׁמְשׁוֹן֙	שִׁמְשׁוֹן	Samson	σαμψων	Lalu	Samsoni	Sansón	Jadi
JDG 15:11!5	יהוּדָ֗ה	יְהוּדָה	Judah	ιουδα	Yehuda	wa Yuda	Judá	Juda
JDG 15:11!9	עֵיטָם֒	עֵיטָם	Etam	ηταμ	Etam	la Etamu	Etam	Etham
JDG 15:11!11	שִׁמְשׁ֗וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 15:12!10	שִׁמְשׁ֔וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 15:14!4	לֶ֔חִי	לֶחִי	Lehi	σιαγόνος	Lehi	Lehi	Lehi	Lehi
JDG 15:14!11	יְהוָ֗ה	יהוה	LORD	κυρίου	Tuhan	BWANA	jehová	Jahowa
JDG 15:16!2	שִׁמְשׁ֔וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 15:17!10	רָ֥מַת	רָמַת לֶחִי				Ramath lehi	Ramat lehi	
JDG 15:17!11	לֶֽחִי	רָמַת לֶחִי			Lehi	Ramath lehi	Ramat lehi	Lehi
JDG 15:18!5	יְהוָה֙	יהוה	LORD	κύριον	Tuhan	BWANA	jehová	Jahowa
JDG 15:19!6	לֶּ֗חִי	לְחִי	Lehi		pipi	Lehi	Lehi	
JDG 15:19!18	עֵ֤ין	עֵין הַקּוֹרֵא			en-gedi	Enhakore	En hacore	
JDG 15:19!19	הַקּוֹרֵא֙	עֵין הַקּוֹרֵא						
JDG 15:19!21	לֶּ֔חִי	לֶחִי	Lehi		sampai	Lehi	Lehi	rasirasa
JDG 15:20!3	יִשְׂרָאֵ֛ל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	wa Israeli	Israel	Israel
JDG 16:1!2	שִׁמְשׁ֖וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:2!1	עַזָּתִ֣ים	עַזָּתִי	Gazites	γαζαίοις	Gaza	Watu wa Gaza	Gaza	Gaza
JDG 16:2!4	שִׁמְשׁוֹן֙	שִׁמְשׁוֹן	Samson	σαμψων	Simson	huyo Samsoni	Sansón	Simson
JDG 16:3!2	שִׁמְשׁוֹן֮	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:3!28	חֶבְרֽוֹן	חֶבְרוֹן	Hebron	ξεβρων	hadapan	Hebroni	Hebrón	
JDG 16:4!7	שֹׂרֵ֑ק	שֹׂרֵק	Sorek		pokok	la Soreki	Sorec	
JDG 16:4!9	דְּלִילָֽה	דְּלִילָה	Delilah	δαλιδα	Delila	Delila	Dalila	Delila
JDG 16:6!2	דְּלִילָה֙	דְּלִילָה	Delilah	δαλιδα	Delila	Delila	Dalila	Delila
JDG 16:6!4	שִׁמְשׁ֔וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:7!3	שִׁמְשׁ֔וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:9!9	שִׁמְשׁ֑וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:10!2	דְּלִילָה֙	דְּלִילָה	Delilah	δαλιδα	Delila	Delila	Dalila	Delila
JDG 16:10!4	שִׁמְשׁ֔וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:12!2	דְּלִילָה֩	דְּלִילָה	Delilah	δαλιδα	Delila	Delila	Dalila	Delila
JDG 16:12!11	שִׁמְשׁ֔וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:13!2	דְּלִילָ֜ה	דְּלִילָה	Delilah	δαλιδα	Delila	Delila	Dalila	Delila
JDG 16:13!4	שִׁמְשׁ֗וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:14!7	שִׁמְשׁ֑וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:18!2	דְלִילָ֗ה	דְּלִילָה	Delilah	δαλιδα	Delila	Delila	Dalila	Delila
JDG 16:20!4	שִׁמְשׁ֑וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:20!16	יְהוָ֖ה	יהוה	LORD	ἀπέστη	Tuhan	BWANA	jehová	Jahowa
JDG 16:23!7	דָג֥וֹן	דָּגוֹן	Dagon	δαγων	Dagon	Dagoni	Dagón	Dagon
JDG 16:23!15	שִׁמְשׁ֥וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:25!8	שִׁמְשׁ֖וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:25!12	שִׁמְשׁ֜וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:26!2	שִׁמְשׁ֜וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:27!17	שִׁמְשֽׁוֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:28!2	שִׁמְשׁ֛וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:28!4	יְהוָ֖ה	יהוה	LORD	κύριον	Tuhan	BWANA	jehová jehová	Jahowa
JDG 16:28!7	יֱהֹוִ֡ה	יְהֹוִה	GOD	κύριε	Tuhan	MUNGU	jehová jehová	Jahowa
JDG 16:29!2	שִׁמְשׁ֜וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:30!2	שִׁמְשׁ֗וֹן	שִׁמְשׁוֹן	Samson	σαμψων	Simson	Samsoni	Sansón	Simson
JDG 16:31!12	צָרְעָה֙	צׇרְעָה	Zorah	σαραα	Zora	Sora	Zora	Zora
JDG 16:31!14	אֶשְׁתָּאֹ֔ל	אֶשְׁתָּאוֹל	Eshtaol	εσθαολ	Esytaol	Eshtaoli	Estaol	Estaol
JDG 16:31!16	מָנ֣וֹחַ	מָנוֹחַ	Manoah	μανωε	Manoah	cha Manoa	Manoa	Manoa
JDG 16:31!21	יִשְׂרָאֵ֖ל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	wa Israeli	Israel	Israel
JDG 17:1!4	אֶפְרָ֖יִם	אֶפְרַ֫יִם	Ephraim	εφραιμ	Efraim	ya Efraimu	Efraín	Epraim
JDG 17:1!6	מִיכָֽיְהוּ	מִיכָהוּ	Micah	μιξαιας	Mikha	Mika	Micaía	Mika
JDG 17:2!24	יהוָֽה	יהוה	LORD	κυρίῳ	Tuhan	na BWANA	jehová	Jahowa
JDG 17:3!13	יהוָ֨ה	יהוה	LORD	κυρίῳ	Tuhan	kwa BWANA	jehová	Jahowa
JDG 17:4!16	מִיכָֽיְהוּ	מִיכָהוּ	Micah	μιξαια	Mikha	ya Mika	Micaía	Mika
JDG 17:5!2	מִיכָ֔ה	מִיכָה	Micah	μιξαια	Mikha	Mika	Micaía	Mika
JDG 17:6!5	יִשְׂרָאֵ֑ל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	katika Israeli	Israel	Israel
JDG 17:7!5	יְהוּדָ֔ה	יְהוּדָה	Judah		Betlehem-Yehuda	yuda	Judá	
JDG 17:7!7	יְהוּדָ֑ה	יְהוּדָה	Judah	ιουδα	kaum	Yuda	Judá	marga
JDG 17:8!6	יְהוּדָ֔ה	יְהוּדָה	Judah	ιουδα	Betlehem-Yehuda	yuda	Judá	
JDG 17:8!12	אֶפְרַ֛יִם	אֶפְרַ֫יִם	Ephraim	εφραιμ	pegunungan	ya Efraimu	Efraín	dolok
JDG 17:8!15	מִיכָ֖ה	מִיכָה	Micah	μιξαια	rumah	ya huyo Mika	Micaía	bagas
JDG 17:9!3	מִיכָ֖ה	מִיכָה	Micah	μιξαιας	Mikha	Mika	Micaía	Mika
JDG 17:9!12	יְהוּדָ֔ה	יְהוּדָה	Judah	ιουδα	Betlehem-Yehuda	yuda	Judá	
JDG 17:10!3	מִיכָ֜ה	מִיכָה	Micah	μιξαιας	Mikha	Mika	Micaía	Mika
JDG 17:12!2	מִיכָה֙	מִיכָה	Micah	μιξαιας	Mikha	Mika	Micaía	Mika
JDG 17:12!12	מִיכָֽה	מִיכָה	Micah	μιξαια	Mikha	mwa Mika	Micaía	Mika
JDG 17:13!2	מִיכָ֔ה	מִיכָה	Micah	μιξαιας	Mikha	Mika	Micaía	Mika
JDG 17:13!7	יְהוָ֖ה	יהוה	LORD	κύριος	Tuhan	BWANA	jehová	Jahowa
JDG 18:1!5	יִשְׂרָאֵ֑ל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	katika Israeli	Israel	Israel
JDG 18:1!23	יִשְׂרָאֵ֖ל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	ya Israeli	Israel	Israel
JDG 18:2!3	דָ֣ן	דָּן	Dan	δαν	bani	wa Dani	Dan	halak
JDG 18:2!11	צָּרְעָ֣ה	צׇרְעָה	Zorah	σαραα	Zora	kutoka Sora	Zora	Zora
JDG 18:2!12	אֶשְׁתָּאֹ֗ל	אֶשְׁתָּאוֹל	Eshtaol	εσθαολ	Esytaol	na kutoka Eshtaoli	Estaol	Estaol
JDG 18:2!25	אֶפְרַ֨יִם֙	אֶפְרַ֫יִם	Ephraim	εφραιμ	Efraim	ya Efraimu	Efraín	Epraim
JDG 18:2!28	מִיכָ֔ה	מִיכָה	Micah	μιξαια	Mikha	huyo Mika	Micaía	Mika
JDG 18:3!4	מִיכָ֔ה	מִיכָה	Micah’s	μιξαια	Mikha	Mika	Micaía	Mika
JDG 18:4!7	מִיכָ֑ה	מִיכָה	Micah	μιξαιας	Mikha	Mika	Micaía	Mika
JDG 18:6!7	יְהוָ֔ה	יהוה	Lord	κυρίου	Tuhan	BWANA	jehová	Jahowa
JDG 18:8!4	צָרְעָ֖ה	צׇרְעָה	Zorah	σαραα	Zora	huko Sora	Zora	Zora
JDG 18:8!5	אֶשְׁתָּאֹ֑ל	אֶשְׁתָּאוֹל	Eshtaol	εσθαολ	Esytaol	na Eshtaoli	Estaol	Estaol
JDG 18:11!5	צָּרְעָ֖ה	צׇרְעָה	Zorah	σαραα	Zora	kutoka Sora	Zora	Zora
JDG 18:11!6	אֶשְׁתָּאֹ֑ל	אֶשְׁתָּאוֹל	Eshtaol	εσθαολ	Esytaol	na kutoka Eshtaoli	Estaol	Estaol
JDG 18:12!5	יהוּדָ֑ה	יְהוּדָה	Judah	ιουδα	sebagai	katika Yuda	Judá	
JDG 18:13!4	אֶפְרָ֑יִם	אֶפְרַ֫יִם	Ephraim	εφραιμ	Efraim	ya Efraimu	Efraín	Epraim
JDG 18:13!8	מִיכָֽה	מִיכָה	Micah	μιξαια	Mikha	ya huyo Mika	Micaía	Mika
JDG 18:14!8	לַיִשׁ֒	לַ֫יִשׁ	Laish	λαισα	Lais	ya Laisha	Lais	Lais
JDG 18:15!9	מִיכָ֑ה	מִיכָה	Micah	μιξαια	Mikha	kwa Mika	Micaía	Mika
JDG 18:16!12	דָֽן	דָּן	Dan	δαν	bani	wa Dani	Dan	pinompar
JDG 18:18!4	מִיכָ֔ה	מִיכָה	Micah’s	μιξαια	Mikha	Mika	Micaía	Mika
JDG 18:19!25	יִשְׂרָאֵֽל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	katika Israeli	Israel	Israel
JDG 18:22!4	מִיכָ֑ה	מִיכָה	Micah	μιξαια	Mikha	ya Mika	Micaía	Mika
JDG 18:22!11	מִיכָ֔ה	מִיכָה	Micah’s	μιξαια	Mikha	Mika		Mika
JDG 18:22!16	דָֽן	דָּן	Dan	δαν	bani	wa Dani	Dan	halak
JDG 18:23!4	דָ֔ן	דָּן	Dan		bani	Dani	Dan	halak
JDG 18:23!8	מִיכָ֔ה	מִיכָה	Micah	μιξαια	Mikha	Mika	Micaía	Mika
JDG 18:25!4	דָ֔ן	דָּן	Dan	δαν	bani	wa Dani	Dan	halak
JDG 18:26!3	דָ֖ן	דָּן	Dan	δαν	bani	Dani	Dan	halak
JDG 18:26!6	מִיכָ֗ה	מִיכָה	Micah	μιξαιας	Mikha	naye Mika	Micaía	Mika
JDG 18:27!6	מִיכָ֗ה	מִיכָה	Micah	μιξαιας	Mikha	Mika	Micaía	Mika
JDG 18:27!14	לַ֗יִשׁ	לַ֫יִשׁ	Laish	λαισα	Lais	Laisha	Lais	Lais
JDG 18:28!6	צִּיד֗וֹן	צִידוֹן	Sidon	σιδωνίων	Sidon	na Sidoni	Sidón	Sidon
JDG 18:29!4	דָּ֔ן	דָּן	Dan	δαν	leluhur	Dani	Dan	
JDG 18:29!6	דָּ֣ן	דָּן	Dan	δαν	bani	Dani	Dan	
JDG 18:29!10	יִשְׂרָאֵ֑ל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	na Israeli	Israel	Israel
JDG 18:29!12	לַ֥יִשׁ	לַ֫יִשׁ	Laish	ουλαμαις	Lais	lilikuwa Laisha	Lais	Lais
JDG 18:30!4	דָ֖ן	דָּן	Dan	δαν	bani	wa Dani	Dan	halak
JDG 18:30!7	יהוֹנָתָן	יוֹנָתָן	Jonathan	ιωναθαμ	Yonatan	na Yonathani	Jonatán	Jonatan
JDG 18:30!9	גֵּרְשֹׁ֨ם	גֵּרְשֹׁם	Gershom	γηρσομ	Gersom	wa Gershomu	Gersón	Gerson
JDG 18:30!11	מְנַשֶּׁ֜ה	מְנַשֶּׁה	Moses	μανασση	manasye	wa Musa	Moisés	
JDG 18:31!5	מִיכָ֖ה	מִיכָה	Micah’s		Mikha	Mika	Micaía	Mika
JDG 18:31!13	שִׁלֹֽה	שִׁלוֹ	Shiloh	σηλωμ	Silo	ilipokuwako huko Shilo	Silo	Silo
JDG 19:1!6	יִשְׂרָאֵ֑ל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	katika Israeli	Israel	Israel
JDG 19:1!13	אֶפְרַ֔יִם	אֶפְרַ֫יִם	Ephraim	εφραιμ	Efraim	ya Efraimu	Efraín	Epraim
JDG 19:1!20	יְהוּדָֽה	יְהוּדָה	Judah	ιουδα	roti	yuda	Judá	
JDG 19:2!12	יְהוּדָ֑ה	יְהוּדָה	Judah	ιουδα	roti	yuda	Judá	
JDG 19:10!10	יְב֔וּס	יְבוּס	Jebus	ιεβους	Yebus	wa Yebusi	Jebús	Jebus
JDG 19:10!12	יְרוּשָׁלִָ֑ם	יְרוּשָׁלִַ֫͏ם	Jerusalem	ιερουσαλημ	Yerusalem	Yerusalemu	Jerusalén	Jerusalem
JDG 19:11!3	יְב֔וּס	יְבוּס	Jebus	ιεβους	Yebus	na Yebusi	Jebús	Jebus
JDG 19:12!12	יִשְׂרָאֵ֖ל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	wa Israeli	Israel	Israel
JDG 19:12!16	גִּבְעָֽה	גִּבְעָה	Gibeah	γαβαα	Gibea	Gibea	Gabaa	Gibea
JDG 19:13!8	גִּבְעָ֖ה	גִּבְעָה	Gibeah	γαβαα	Gibea	katika Gibea	Gabaa	Gibea
JDG 19:13!10	רָמָֽה	רָמָה	Ramah	ραμα		katika Rama	Ramá	
JDG 19:14!7	גִּבְעָ֖ה	גִּבְעָה	Gibeah	γαβαα	Gibea	na Gibea	Gabaa	Gibea
JDG 19:14!9	בִנְיָמִֽן	בִּנְיָמִין	Benjamin	βενιαμιν	Benyamin	ni mji wa Benyamini	Benjamín	Benjamin
JDG 19:15!5	גִּבְעָ֑ה	גִּבְעָה	Gibeah	γαβαα	Gibea	katika Gibea	Gabaa	Gibea
JDG 19:16!12	אֶפְרַ֔יִם	אֶפְרַ֫יִם	Ephraim	εφραιμ	Efraim	Efraimu	Efraín	Epraim
JDG 19:16!15	גִּבְעָ֑ה	גִּבְעָה	Gibeah	γαβαα	Gibea	katika Gibea	Gabaa	Gibea
JDG 19:18!7	יְהוּדָה֮	יְהוּדָה	Judah	ιουδα	roti	yuda	Judá	
JDG 19:18!11	אֶפְרַיִם֒	אֶפְרַ֫יִם	Ephraim	εφραιμ	pegunungan	ya Efraimu	Efraín	dolok
JDG 19:18!18	יְהוּדָ֑ה	יְהוּדָה	Judah	ιουδα	Betlehem-Yehuda	yuda	Judá	
JDG 19:18!21	יְהוָה֙	יהוה	LORD			ya BWANA	jehová	
JDG 19:29!17	יִשְׂרָאֵֽל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	ya Israeli	Israel	Israel
JDG 19:30!13	יִשְׂרָאֵל֙	יִשְׂרָאֵל	Israel	ισραηλ	Israel	wa Israeli	Israel	Israel
JDG 19:30!15	מִצְרַ֔יִם	מִצְרַ֫יִם	Egypt	αἰγύπτου	Mesir	Misri	Egipto	Misir
JDG 20:1!4	יִשְׂרָאֵל֒	יִשְׂרָאֵל	Israel	ισραηλ	Israel	wa Israeli	Israel	Israel
JDG 20:1!9	דָּן֙	דָּן	Dan	δαν	bani	kutoka Dani	Dan	
JDG 20:1!11	בְּאֵ֣ר	בְּאֵר שֶׁ֫בַע		βηρσαβεε	bersyeba	Beer sheba	Beerseba	Beerseba
JDG 20:1!14	גִּלְעָ֑ד	גִּלְעָד	Gilead	γαλααδ	Gilead	ya Gileadi	Galaad	Gilead
JDG 20:1!16	יְהוָ֖ה	יהוה	LORD	κύριον	Tuhan	BWANA	jehová	Jahowa
JDG 20:1!17	מִּצְפָּֽה	מִצְפָּה	Mizpah	μασσηφα	Mizpa	huko Mispa	Mizpa	Mispa
JDG 20:2!7	יִשְׂרָאֵ֔ל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	ya Israeli	Israel	Israel
JDG 20:3!3	בִנְיָמִ֔ן	בִּנְיָמִין	Benjamin	βενιαμιν	Benyamin	Benyamini	Benjamín	Benjamin
JDG 20:3!7	יִשְׂרָאֵ֖ל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	wa Israeli	Israel	Israel
JDG 20:3!8	מִּצְפָּ֑ה	מִצְפָּה	Mizpah	μασσηφα	Mizpa	Mispa	Mizpa	Mispa
JDG 20:3!11	יִשְׂרָאֵ֔ל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	wa Israeli	Israel	Israel
JDG 20:4!10	בִנְיָמִ֔ן	בִּנְיָמִין	Benjamin	βενιαμιν	Benyamin	wa Benyamini	Benjamín	Benjamin
JDG 20:5!4	גִּבְעָ֔ה	גִּבְעָה	Gibeah	γαβαα	Gibea	wa Gibea	Gabaa	Gibea
JDG 20:6!8	יִשְׂרָאֵ֑ל	יִשְׂרָאֵל	Israel’s	ισραηλ	Israel	wa Israeli	Israel	Israel
JDG 20:6!13	יִשְׂרָאֵֽל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	katika Israeli	Israel	Israel
JDG 20:7!4	יִשְׂרָאֵ֑ל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	wa Israeli	Israel	Israel
JDG 20:9!6	גִּבְעָ֑ה	גִּבְעָה	Gibeah	γαβαα	Gibea	watu wa Gibea	Gabaa	Gibea
JDG 20:10!7	יִשְׂרָאֵ֗ל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	za Israeli	Israel	Israel
JDG 20:10!17	גֶ֣בַע	גֶּ֫בַע	Gibeah	γαβαα	geba	Gibea	Gabaa	
JDG 20:10!18	בִּנְיָמִ֔ן	בִּנְיָמִין	Benjamin	βενιαμιν	benyamin	ya Benyamini	Benjamín	Benjamin
JDG 20:10!23	יִשְׂרָאֵֽל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	katika Israeli	Israel	Israel
JDG 20:11!4	יִשְׂרָאֵל֙	יִשְׂרָאֵל	Israel	ισραηλ	Israel	wa Israeli	Israel	Israel
JDG 20:12!3	יִשְׂרָאֵל֙	יִשְׂרָאֵל	Israel	ισραηλ	Israel	ya Israeli	Israel	Israel
JDG 20:12!7	בִנְיָמִ֖ן	בִּנְיָמִין	Benjamin	βενιαμιν	Benyamin	ya Benyamini	Benjamín	Benjamin
JDG 20:13!8	גִּבְעָה֙	גִּבְעָה	Gibeah	γαβαα	Gibea	katika Gibea		Gibea
JDG 20:13!12	יִּשְׂרָאֵ֑ל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	katika Israeli		Israel
JDG 20:13!16	בִּנְיָמִ֔ן	בִּנְיָמִין	Benjamin	βενιαμιν		Benyamini	Benjamín	
JDG 20:13!21	יִשְׂרָאֵֽל	יִשְׂרָאֵל	Israel	ισραηλ		wa Israeli	Israel	
JDG 20:14!3	בִנְיָמִ֛ן	בִּנְיָמִין	Benjamin	βενιαμιν	Benyamin	wa Benyamini	Benjamín	Benjamin
JDG 20:14!11	יִשְׂרָאֵֽל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	wa Israeli	Israel	Israel
JDG 20:15!3	בִנְיָמִ֜ן	בִּנְיָמִין	Benjamin	βενιαμιν	Benyamin	wa Benyamini	Benjamín	Benjamin
JDG 20:15!15	גִּבְעָה֙	גִּבְעָה	Gibeah	γαβαα	Gibea	Gibea	Gabaa	Gibea
JDG 20:17!2	יִשְׂרָאֵ֜ל	יִשְׂרָאֵל	Israel	ισραηλ	Israel	wa Israeli	Israel	Israel
