ref	text	macula_lemma	macula_eng	macula_lxx_greek	tbi	sruv06	rv09	bbc
GEN 4:13!2	קַ֖יִן	קַ֫יִן	Cain	καιν	kain	Kaini	Caín	Kain
GEN 4:13!4	יְהוָ֑ה	יהוה	LORD		tuhan	BWANA	Jehová	Jahowa
GEN 4:15!3	יְהוָ֗ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 4:15!7	קַ֔יִן	קַ֫יִן	Cain	καιν	Kain	Kaini	Caín	Kain
GEN 4:15!11	יְהוָ֤ה	יהוה	Lord	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 4:15!12	קַ֨יִן֙	קַ֫יִן	Cain	σημεῖον	Kain	Kaini	Caín	Kain
GEN 4:16!2	קַ֖יִן	קַ֫יִן	Cain	καιν	kain	Kaini	Caín	Kain
GEN 4:16!4	יְהוָ֑ה	יהוה	LORD’s	θεοῦ	tuhan	BWANA	Jehová	Jahowa
GEN 4:16!7	נ֖וֹד	נוֹד	Nod	ναιδ	nod	Nodi	Nod	Nod
GEN 4:16!9	עֵֽדֶן	עֵ֫דֶן	Eden	εδεμ	eden	Edeni	Edén	porlak
GEN 4:17!2	קַ֨יִן֙	קַ֫יִן	Cain	καιν	kain	Kaini	Caín	Kain
GEN 4:17!8	חֲנ֑וֹךְ	חֲנוֹךְ	Enoch	ενωξ	henokh	Henoko	Enoc	Hanok
GEN 4:17!17	חֲנֽוֹךְ	חֲנוֹךְ	Enoch	ενωξ	henokh	Henoko	Enoc	Hanok
GEN 4:18!2	חֲנוֹךְ֙	חֲנוֹךְ	Enoch	ενωξ	henokh	Henoko	Enoc	Hanok
GEN 4:18!4	עִירָ֔ד	עִירָד	Irad	γαιδαδ	irad	Iradi	Irad	Irad
GEN 4:18!5	עִירָ֕ד	עִירָד	Irad	γαιδαδ	Irad	Iradi	Irad	Irad
GEN 4:18!8	מְחֽוּיָאֵ֑ל	מְחוּיָאֵל	Mehujael		mehuyael	Mehuyaeli	Mehujael	Mehuyael
GEN 4:18!9	מְחִיּיָאֵ֗ל	מְחוּיָאֵל	Mehujael	μαιηλ	Mehuyael	Mehuyaeli	Mehujael	Mehuyael
GEN 4:18!12	מְת֣וּשָׁאֵ֔ל	מְתוּשָׁאֵל	Methushael		metusael	Methushaeli	Metusael	Irad
GEN 4:18!13	מְתוּשָׁאֵ֖ל	מְתוּשָׁאֵל	Methushael	μαθουσαλα	Metusael	Methushaeli	Metusael	Irad
GEN 4:18!16	לָֽמֶךְ	לֶ֫מֶךְ	Lamech	λαμεξ	lamekh	Lameki	Lamec	Lamek
GEN 4:19!3	לֶ֖מֶךְ	לֶ֫מֶךְ	Lamech	λαμεξ	lamekh	Lameki	Lamec	Lamek
GEN 4:19!8	עָדָ֔ה	עָדָה	Adah	αδα	Ada	ni Ada	Ada	Ada
GEN 4:19!11	צִלָּֽה	צִלָּה	Zillah	σελλα	zila	ni Sila	Zila	Zilla
GEN 4:20!2	עָדָ֖ה	עָדָה	Adah	αδα	Ada	Ada	Ada	Ada
GEN 4:20!4	יָבָ֑ל	יָבָל	Jabal		yabal	Yabali	Jabal	Jabal
GEN 4:21!3	יוּבָ֑ל	יוּבָ֑ל	Jubal	ιουβαλ	yubal	aliitwa Yubali	Jubal	Jubal
GEN 4:22!1	צִלָּ֣ה	צִלָּה	Zillah	σελλα	zila	Sila	Zila	Zilla
GEN 4:22!16	נַֽעֲמָֽה	נַעֲמָה	Naamah	νοεμα	naama	alikuwa Naama	Naama	Naema
GEN 4:23!2	לֶ֜מֶךְ	לֶ֫מֶךְ	Lamech	λαμεξ	lamekh	Lameki	Lamec	Lamek
GEN 4:23!4	עָדָ֤ה	עָדָה	Adah	αδα	Ada	Ada	Ada	Ada
GEN 4:23!5	צִלָּה֙	צִלָּה	Zillah	σελλα	zila	na Sila	Zila	Zilla
GEN 4:23!9	לֶ֔מֶךְ	לֶ֫מֶךְ	Lamech	λαμεξ	Lamekh	za Lameki	Lamec	Lamek
GEN 4:24!4	קָ֑יִן	קַ֫יִן	Cain	καιν	kain	Kaini	Caín	Kain
GEN 4:24!5	לֶ֖מֶךְ	לֶ֫מֶךְ	Lamech	λαμεξ	lamekh	Hakika Lameki atalipiwa	Lamec	Lamek
GEN 4:25!2	אָדָ֥ם	אָדָם	Adam	αδαμ	adam	Adamu	Adán	Adam
GEN 4:25!11	שֵׁ֑ת	שֵׁת	Seth	σηθ	set	Sethi	Set	Set
GEN 4:25!19	הֶ֔בֶל	הֶ֫בֶל	Abel	αβελ	habel	pa Habili	Abel	Abel
GEN 4:25!22	קָֽיִן	קַ֫יִן	Cain	καιν	kain	Kaini	Caín	Kain
GEN 4:26!1	שֵׁ֤ת	שֵׁת	Seth	σηθ	set	Sethi	Set	Set
GEN 4:26!9	אֱנ֑וֹשׁ	אֱנוֹשׁ	Enosh	ενως	enos	Enoshi	Enós	Enos
GEN 4:26!14	יְהוָֽה	יהוה	LORD	κυρίου	tuhan	la BWANA	Jehová	Jahowa
GEN 5:1!4	אָדָ֑ם	אָדָם	Adam	ἀνθρώπων	adam	vya Adamu	hombre	Adam
GEN 5:3!2	אָדָ֗ם	אָדָם	Adam	αδαμ	adam	Adamu	Adán	Adam
GEN 5:3!12	שֵֽׁת	שֵׁת	Seth	σηθ	set	Sethi	Set	Set
GEN 5:4!3	אָדָ֗ם	אָדָם	Adam	αδαμ	adam	Adamu	Adán	Adam
GEN 5:4!7	שֵׁ֔ת	שֵׁת	Seth	σηθ	set	Sethi	Set	Set
GEN 5:5!4	אָדָם֙	אָדָם	Adam	αδαμ	adam	za Adamu	Adán	Adam
GEN 5:6!2	שֵׁ֕ת	שֵׁת	Seth	σηθ	set	Sethi	Set	Set
GEN 5:6!9	אֱנֽוֹשׁ	אֱנוֹשׁ	Enosh		enos	Enoshi	Enós	Enos
GEN 5:7!2	שֵׁ֗ת	שֵׁת	Seth	σηθ	set	Sethi	Set	Set
GEN 5:7!6	אֱנ֔וֹשׁ	אֱנוֹשׁ	Enosh		enos	Enoshi	Enós	Enos
GEN 5:8!4	שֵׁ֔ת	שֵׁת	Seth	σηθ	set	Sethi	Set	Set
GEN 5:9!2	אֱנ֖וֹשׁ	אֱנוֹשׁ	Enosh	ενως	enos	Enoshi	Enós	Enos
GEN 5:9!7	קֵינָֽן	קֵינָן	Kenan	καιναν	kenan	Kenani	Cainán	Kenan
GEN 5:10!2	אֱנ֗וֹשׁ	אֱנוֹשׁ	Enosh	ενως	enos	Enoshi	Enós	Enos
GEN 5:10!6	קֵינָ֔ן	קֵינָן	Kenan	καιναν	kenan	Kenani	Cainán	Kenan
GEN 5:11!4	אֱנ֔וֹשׁ	אֱנוֹשׁ	Enosh	ενως	enos	Enoshi	Enós	Enos
GEN 5:12!2	קֵינָ֖ן	קֵינָן	Kenan	καιναν	kenan	Kenani	Cainán	Kenan
GEN 5:12!7	מַֽהֲלַלְאֵֽל	מַהֲלַלְאֵל	Mahalalel	μαλελεηλ	mahalaleel	Mahalaleli	Mahalaleel	Mahalaleel
GEN 5:13!2	קֵינָ֗ן	קֵינָן	Kenan	καιναν	kenan	Kenani	Cainán	Kenan
GEN 5:13!6	מַֽהֲלַלְאֵ֔ל	מַהֲלַלְאֵל	Mahalalel	μαλελεηλ	mahalaleel	Mahalaleli	Mahalaleel	Mahalaleel
GEN 5:14!4	קֵינָ֔ן	קֵינָן	Kenan	καιναν	kenan	Kenani	Cainán	Kenan
GEN 5:15!2	מַֽהֲלַלְאֵ֔ל	מַהֲלַלְאֵל	Mahalalel	μαλελεηλ	mahalaleel	Mahalaleli	Mahalaleel	Mahalaleel
GEN 5:15!9	יָֽרֶד	יֶ֫רֶד	Jared		yared	Yaredi	Jared	Jared
GEN 5:16!2	מַֽהֲלַלְאֵ֗ל	מַהֲלַלְאֵל	Mahalalel	μαλελεηλ	mahalaleel	Mahalaleli	Mahalaleel	Mahalaleel
GEN 5:16!6	יֶ֔רֶד	יֶ֫רֶד	Jared		yared	Yaredi	Jared	Jared
GEN 5:17!4	מַהֲלַלְאֵ֔ל	מַהֲלַלְאֵל	Mahalalel	μαλελεηλ	mahalaleel	za Mahalaleli	Mahalaleel	Mahalaleel
GEN 5:18!2	יֶ֕רֶד	יֶ֫רֶד	Jared	ιαρεδ	yared	Yaredi	Jared	Jared
GEN 5:18!10	חֲנֽוֹךְ	חֲנוֹךְ	Enoch	ενωξ	henokh	Henoko	Enoc	Henok
GEN 5:19!2	יֶ֗רֶד	יֶ֫רֶד	Jared	ιαρεδ	yared	Yaredi	Jared	Jared
GEN 5:19!6	חֲנ֔וֹךְ	חֲנוֹךְ	Enoch	ενωξ	henokh	Henoko	Enoc	Henok
GEN 5:20!4	יֶ֔רֶד	יֶ֫רֶד	Jared	ιαρεδ	yared	Yaredi	Jared	Jared
GEN 5:21!2	חֲנ֔וֹךְ	חֲנוֹךְ	Enoch	ενωξ	henokh	Henoko	Enoc	Henok
GEN 5:21!8	מְתוּשָֽׁלַח	מְתוּשֶׁ֫לַח	Methuselah	μαθουσαλα	metusalah	Methusela	Matusalén	Metusalah
GEN 5:22!2	חֲנ֜וֹךְ	חֲנוֹךְ	Enoch	ενωξ	henokh	Henoko	Enoc	Henok
GEN 5:22!8	מְתוּשֶׁ֔לַח	מְתוּשֶׁ֫לַח	Methuselah	μαθουσαλα	metusalah	Methusela	Matusalén	Metusalah
GEN 5:23!4	חֲנ֑וֹךְ	חֲנוֹךְ	Enoch	ενωξ	henokh	Henoko	Enoc	Henok
GEN 5:24!2	חֲנ֖וֹךְ	חֲנוֹךְ	Enoch	ενωξ	henokh	Henoko	Enoc	Henok
GEN 5:25!2	מְתוּשֶׁ֔לַח	מְתוּשֶׁ֫לַח	Methuselah	μαθουσαλα	metusalah	Methusela	Matusalén	Metusalah
GEN 5:25!10	לָֽמֶךְ	לֶ֫מֶךְ	Lamech	λαμεξ	lamekh	Lameki	Lamec	Lamek
GEN 5:26!2	מְתוּשֶׁ֗לַח	מְתוּשֶׁ֫לַח	Methuselah	μαθουσαλα	metusalah	Methusela	Matusalén	Metusalah
GEN 5:26!6	לֶ֔מֶךְ	לֶ֫מֶךְ	Lamech	λαμεξ	lamekh	Lameki	Lamec	Lamek
GEN 5:27!4	מְתוּשֶׁ֔לַח	מְתוּשֶׁ֫לַח	Methuselah	μαθουσαλα	metusalah	Methusela	Matusalén	Metusalah
GEN 5:28!2	לֶ֕מֶךְ	לֶ֫מֶךְ	Lamech	λαμεξ	lamekh	Lameki	Lamec	Lamek
GEN 5:29!4	נֹ֖חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 5:29!15	יְהוָֽה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 5:30!2	לֶ֗מֶךְ	לֶ֫מֶךְ	Lamech	λαμεξ	lamekh	Lameki	Lamec	Lamek
GEN 5:30!6	נֹ֔חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 5:31!4	לֶ֔מֶךְ	לֶ֫מֶךְ	Lamech	λαμεξ	lamekh	Lameki	Lamec	Lamek
GEN 5:32!2	נֹ֕חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 5:32!8	נֹ֔חַ	נֹחַ	Noah	νωε	ia	aliwazaa		
GEN 5:32!10	שֵׁ֖ם	שֵׁם	Shem	σημ	sem	Shemu	Sem	Sem
GEN 5:32!12	חָ֥ם	חָם	Ham	ξαμ	ham	na Hamu	Cam	Ham
GEN 5:32!14	יָֽפֶת	יֶ֫פֶת	Japheth	ιαφεθ	yafet	Yafethi	Jafet	Japet
GEN 6:3!2	יְהוָ֗ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 6:5!2	יְהוָ֔ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 6:6!2	יְהוָ֔ה	יהוה	LORD	θεὸς	tuhan	BWANA	Jehová	Jahowa
GEN 6:7!2	יְהוָ֗ה	יהוה	LORD	θεός	tuhan	BWANA	Jehová	Jahowa
GEN 6:8!1	נֹ֕חַ	נֹחַ	Noah	νωε	nuh	Lakini Nuhu	Noé	Noak
GEN 6:8!5	יְהוָֽה	יהוה	LORD	κυρίου	tuhan	BWANA	Jehová	Jahowa
GEN 6:9!3	נֹ֔חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 6:9!4	נֹ֗חַ	נֹחַ	Noah	νωε	Nuh	Nuhu	Noé	Noak
GEN 6:9!13	נֹֽחַ	נֹחַ	Noah	νωε	Nuh	Nuhu	Noé	Noak
GEN 6:10!2	נֹ֖חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 6:10!6	שֵׁ֖ם	שֵׁם	Shem	σημ	sem	Shemu	Sem	Sem
GEN 6:10!8	חָ֥ם	חָם	Ham	ξαμ	ham	na Hamu	Cam	Ham
GEN 6:10!10	יָֽפֶת	יֶ֫פֶת	Japheth	ιαφεθ	yafet	Yafethi	Jafet	Japet
GEN 6:13!3	נֹ֗חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 6:22!2	נֹ֑חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 7:1!2	יְהוָה֙	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 7:1!3	נֹ֔חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 7:5!2	נֹ֑חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 7:5!6	יְהוָֽה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 7:6!1	נֹ֕חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 7:7!2	נֹ֗חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 7:9!5	נֹ֛חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 7:9!14	נֹֽחַ	נֹחַ	Noah		Nuh	Nuhu	Noé	Noak
GEN 7:11!6	נֹ֔חַ	נֹחַ	Noah’s	νωε	Nuh	Nuhu	Noé	Noak
GEN 7:13!5	נֹ֔חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 7:13!6	שֵׁם	שֵׁם	Shem	σημ	sem	Shemu	Sem	Sem
GEN 7:13!7	חָ֥ם	חָם	Ham	ξαμ	ham	Hamu	Cam	Ham
GEN 7:13!8	יֶ֖פֶת	יֶ֫פֶת	Japheth	ιαφεθ	yafet	Yafethi	Jafet	Japet
GEN 7:13!10	נֹ֑חַ	נֹחַ	Noah	νωε	Nuh	Nuhu	Noé	Noak
GEN 7:13!12	נֹ֗חַ	נֹחַ	Noah’s	νωε	Nuh	Nuhu	Noé	Noak
GEN 7:15!3	נֹ֖חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 7:16!12	יְהוָ֖ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 7:23!22	נֹ֛חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 8:1!4	נֹ֔חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 8:4!11	אֲרָרָֽט	אֲרָרַט	Ararat		ararat	Ararati	Ararat	Ararat
GEN 8:6!6	נֹ֔חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 8:11!12	נֹ֔חַ	נֹחַ	Noah	νωε	Nuh	Nuhu	Noé	ibana
GEN 8:13!14	נֹ֨חַ֙	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 8:15!4	נֹ֥חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 8:18!2	נֹ֑חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 8:20!2	נֹ֛חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 8:20!4	יהוָ֑ה	יהוה	LORD	θεῷ	tuhan	BWANA	Jehová	Jahowa
GEN 8:21!2	יְהוָה֮	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 8:21!7	יְהוָ֜ה	יהוה	Lord	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 9:1!4	נֹ֖חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 9:8!4	נֹ֔חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 9:17!4	נֹ֑חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 9:18!3	נֹ֗חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 9:18!7	שֵׁ֖ם	שֵׁם	Shem	σημ	sem	Shemu	Sem	Sem
GEN 9:18!8	חָ֣ם	חָם	Ham	ξαμ	ham	Hamu	Cam	Ham
GEN 9:18!9	יָ֑פֶת	יֶ֫פֶת	Japheth	ιαφεθ	yafet	Yafethi	Jafet	Japet
GEN 9:18!10	חָ֕ם	חָם	Ham	ξαμ	ham	Hamu	Cam	Ham
GEN 9:18!13	כְנָֽעַן	כְּנַ֫עַן	Canaan	ξανααν	kanaan	wa Kanaani	Canaán	Kanaan
GEN 9:19!4	נֹ֑חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 9:20!2	נֹ֖חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 9:22!2	חָ֚ם	חָם	Ham	ξαμ	ham	Hamu	Cam	Ham
GEN 9:22!4	כְנַ֔עַן	כְּנַ֫עַן	Canaan	ξανααν	kanaan	Kanaani	Canaán	Kanaan
GEN 9:23!2	שֵׁ֨ם	שֵׁם	Shem	σημ	sem	Shemu	Sem	Sem
GEN 9:23!3	יֶ֜פֶת	יֶ֫פֶת	Japheth	ιαφεθ	yafet	Yafethi	Jafet	Japet
GEN 9:24!2	נֹ֖חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 9:25!3	כְּנָ֑עַן	כְּנַ֫עַן	Canaan	ξανααν	kanaan	Kanaani	Canaán	Kanaan
GEN 9:26!3	יְהֹוָ֖ה	יהוה	LORD	κύριος	tuhan	BWANA	Jehová	Jahowa
GEN 9:26!5	שֵׁ֑ם	שֵׁם	Shem	σημ	sem	wa Shemu	Sem	Sem
GEN 9:26!7	כְנַ֖עַן	כְּנַ֫עַן	Canaan	ξανααν	kanaan	Na Kanaani	Canaán	Kanaan
GEN 9:27!3	יֶ֔פֶת	יֶ֫פֶת	Japheth	ιαφεθ	yafet	Yafethi	Jafet	Japet
GEN 9:27!6	שֵׁ֑ם	שֵׁם	Shem	σημ	sem	za Shemu	Sem	Sem
GEN 9:27!8	כְנַ֖עַן	כְּנַ֫עַן	Canaan	ξανααν	kanaan	Na Kanaani	Canaán	Kanaan
GEN 9:28!2	נֹ֖חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 9:29!4	נֹ֔חַ	נֹחַ	Noah	νωε	nuh	Nuhu	Noé	Noak
GEN 10:1!4	נֹ֔חַ	נֹחַ	Noah’s	νωε	nuh	Nuhu	Noé	Noak
GEN 10:1!5	שֵׁ֖ם	שֵׁם	Shem	σημ	sem	Shemu	Sem	Sem
GEN 10:1!6	חָ֣ם	חָם	Ham	ξαμ	ham	na Hamu	Cam	Ham
GEN 10:1!7	יָ֑פֶת	יֶ֫פֶת	Japheth	ιαφεθ	yafet	Yafethi	Jafet	Japet
GEN 10:2!2	יֶ֔פֶת	יֶ֫פֶת	Japheth	ιαφεθ	yafet	Yafethi	Jafet	Japet
GEN 10:2!3	גֹּ֣מֶר	גֹּ֫מֶר	Gomer	γαμερ	gomer	ni Gomeri	Gomer	Gomer
GEN 10:2!4	מָג֔וֹג	מָגוֹג	Magog	μαγωγ	magog	Magogu	Magog	Magog
GEN 10:2!5	מָדַ֖י	מָדַי	Madai	μαδαι	madai	Madai	Madai	Madai
GEN 10:2!6	יָוָ֣ן	יָוָן	Javan	ιωυαν	yawan	Yavani	Javán	Javan
GEN 10:2!7	תֻבָ֑ל	תּוּבַל	Tubal	θοβελ	tubal	Tubali	Tubal	Tubal
GEN 10:2!8	מֶ֖שֶׁךְ	מֶ֫שֶׁךְ	Meshech	μοσοξ	mesekh	Mesheki	Mesec	Mesek
GEN 10:2!9	תִירָֽס	תִּירָ֑ס	Tiras	θιρας	tiras	Tirasi	Tiras	Tiras
GEN 10:3!2	גֹּ֑מֶר	גֹּ֫מֶר	Gomer	γαμερ	gomer	wa Gomeri	Gomer	Gomer
GEN 10:3!3	אַשְׁכֲּנַ֥ז	אַשְׁכְּנַז	Ashkenaz	ασξαναζ	askenas	ni Ashkenazi	Askenaz	Askenas
